Language	Degree of endangerment	Level of endangerment	Number of speakers	Latitude	Longitude	Community Marriage Organisation	Name	fSD-dis-nondis	mSD-dis-nondis	agriculture				ID	Name in English	Community Marriage Organisation	Countries	Country codes alpha 3	ISO639-3 codes	Degree of endangerment	Alternate names	Name in the language	Number of speakers	Sources	Latitude	Longitude	Description of the location
Lushai	Vulnerable	1	191000	24.4521	93.2354		Lushai    	1	1	0				1161	Thado		India	IND	tcz	Vulnerable	" Thadou, Kuki, Kuki- Thado"		191000		24.4521	93.2354	"Manipur, Chandel Dt; Nagaland, Kohima District.  Also spoken in Burma, Possibly some speakers also in Mizoram."
Lusu	Safe	0	940000	26.91	98.56		Lusu      	1	1	1					Lisu		China			Safe			940000		26.91	98.56	
Magar	Definitely endangered	2	489383	28.0816	83.4301	Agamous	Magar     	1	1	0				1118	Magar	Agamous	Nepal	NPL	"mgp, mrd"	Definitely endangered	__å__‹__; Manggar; Magari		489383	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	28.0816	83.4301	"P—lp—, Sy—ö_€j—, Tanah© and Gorkh— districts."
Manipuri	Vulnerable	1	77545	24.297	92.4499		Manipuri  	1	0	0					Manipuri		India			Vulnerable			77545		24.297	92.4499	
Manu	Safe	0	10000	19.16	96.95		Manu								Kawyaw		Myanmar			Safe			10000		19.16	96.95	
Mao	Vulnerable	1	81000	25.5027	94.2681		Mao       	1	1	0				1144	Mao		India	IND	nbi	Vulnerable			81000		25.5027	94.2681	"Manipur, Senapati Dt; Nagaland, Kohima Dt."
Maram	Vulnerable	1	37000	25.185	93.9715		Maram     	1	0	0				1151	Maram		India	IND	nma	Vulnerable			37000		25.185	93.9715	"Manipur, Senapati and Imphal districts"
Miji	Definitely endangered	2	5000	27.3351	92.5735		Miji      	1	0	0				1094	Miji		India	IND		Definitely endangered	Dhammai		5000		27.3351	92.5735	"Arunachal Pradesh, West Kameng Dt., mostly Bichom and Pakesa river valleys"
Miju_Geman	Vulnerable	1	6700	28.1155	96.2896		Miju_Geman	1	0	0				1087	Miju		"China, India"	"CHN, IND"	mxj	Vulnerable	"Keman, Miju Mishmi, Geman Deng"		6700		28.1155	96.2896	"Arunachal Pradesh, Lohit and Anjan districts"
Mikir	Vulnerable	1	420000	26.29	93.23		Mikir     	1	0	0					Karbi					Vulnerable			420000		26.29	93.23	
